Issue key,Days taken
IFW-2185,19
IFW-2020,13
IFW-2231,13
IFW-2001,25
IFW-2184,6
IFW-2290,3
IFW-2261,7
IFW-2189,8
IFW-2258,8
IFW-2233,6
IFW-2227,19
IFW-2283,5
IFW-2244,13
IFW-2201,11
IFW-2228,7
IFW-2049,13
IFW-1764,5
IFW-2238,5
IFW-2255,8
IFW-2257,2
IFW-2256,8
IFW-2002,8
IFW-2226,7
IFW-2225,8
IFW-2239,12
IFW-2200,12
IFW-2183,11
IFW-2107,9
IFW-2163,2
IFW-1720,7
IFW-2171,7
IFW-2011,0
IFW-2023,28
IFW-2217,13
IFW-2218,13
IFW-2216,12
IFW-2198,2
IFW-1992,2
IFW-2158,15
IFW-1974,14
IFW-1998,12
IFW-2182,12
IFW-2129,1
IFW-1959,1
IFW-1950,1
IFW-2103,8
IFW-2162,5
IFW-2115,5
IFW-2015,6
IFW-2128,13
IFW-2125,13
IFW-2077,11
IFW-2005,25
IFW-2083,9
IFW-2075,7
IFW-1991,8
